SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37302,2023-09,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,90,문화축제
37303,2023-09,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,90,문화축제
37304,2023-09,924,「제36회 대구약령시 한방문화축제」,대구약령시한방문화축제,90,문화축제
37305,2023-09,931,「제37회 대구약령시 한방문화축제」,대구약령시한방문화축제,90,문화축제
37306,2023-09,235,가야문화축제,가야문화축제,550,문화축제
37307,2023-09,845,가파도청보리축제,가파도청보리축제,110,문화축제
37308,2023-09,1120,간절곶해맞이,간절곶해맞이,15,문화축제
37309,2023-09,1046,감악문화축제,감악문화축제,560,문화축제
37310,2023-09,366,감천문화마을 골목축제,감천문화마을골목축제,230,문화축제
37311,2023-09,111,강감찬축제,강감찬축제,2430,문화축제
37312,2023-09,187,강경젓갈축제,강경젓갈축제,5870,문화축제
37313,2023-09,586,강동선사문화축제,강동선사문화축제,5270,문화축제
37314,2023-09,763,강릉단오제,강릉단오제,3660,문화축제
37315,2023-09,764,강릉커피축제,강릉커피축제,15160,문화축제
37316,2023-09,115,개천예술제,개천예술제,14420,문화축제
37317,2023-09,989,개화산 봄꽃축제,개화산봄꽃축제,10,문화축제
37318,2023-09,359,거문도백도은빛바다체험행사,거문도백도은빛바다체험행사,19,문화축제
37319,2023-09,436,거제 섬꽃축제,거제섬꽃축제,2830,문화축제
37320,2023-09,430,거제 옥포대첩 축제,거제옥포대첩축제,20,문화축제
37321,2023-09,434,거제맥주축제,거제맥주축제,390,문화축제
37322,2023-09,435,거제몽돌해변축제,거제몽돌해변축제,20,문화축제
37323,2023-09,615,거창크리스마스트리문화축제,거창크리스마스트리문화축제,19,문화축제
37324,2023-09,614,거창한마당대축제,거창한마당대축제,2350,문화축제
37325,2023-09,101,겨울왕국 제천페스티벌,겨울왕국제천페스티벌,10,문화축제
37326,2023-09,767,경산갓바위소원성취축제,경산갓바위소원성취축제,820,문화축제
37327,2023-09,766,경산자인단오제,경산자인단오제,120,문화축제
37328,2023-09,376,경주세계차문화축제,경주세계차문화축제,890,문화축제
37329,2023-09,760,계룡군문화축제,계룡군문화축제,14790,문화축제
37330,2023-09,171,계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
37331,2023-09,280,계룡산산신제,계룡산산신제,13,문화축제
37332,2023-09,103,계양산국악제,계양산국악제,20,문화축제
37333,2023-09,753,고려산진달래축제,고려산진달래축제,120,문화축제
37334,2023-09,27,고로쇠축제,고로쇠축제,40,문화축제
37335,2023-09,738,고서포도축제,고서포도축제,180,문화축제
37336,2023-09,1105,고스트파크,고스트파크,300,문화축제
37337,2023-09,326,고창갯벌축제,고창갯벌축제,240,문화축제
37338,2023-09,322,고창모양성제,고창모양성제,5200,문화축제
37339,2023-09,325,고창복분자와수박축제,고창복분자와수박축제,80,문화축제
37340,2023-09,323,고창청보리밭축제,고창청보리밭축제,1040,문화축제
37341,2023-09,328,고창해풍고추축제,고창해풍고추축제,120,문화축제
37342,2023-09,490,고흥 우주항공 축제,고흥우주항공축제,70,문화축제
